Phòng ăn,Pháp lý,addressLocality,Số phòng ngủ,price_text,Chính chủ,addressRegion,Đường trước nhà,description,Chiều dài,streetAddress,Sân thượng,Thuộc dự án,Hướng,title,Loại BDS,Nhà bếp,Chiều ngang,price_value,area,Loại tin,Mã tin,Chổ để xe hơi,Số lầu,address_old
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,"3,3 tỷ",,Hồ Chí Minh,8m,"Diện tích 4.5 x 22 m
      Cần bán gấp kinh doanh nên giá cực tốt 
      Xung quanh dân cư cực kỳ đông đúc, thuận tiện kinh doanh buôn bán
      khả năng lợi nhuận gấp đôi nhờ dự án Vinhomes Green Paradise Cần Giờ đươc VinGroup đầu tư 10tỷ đô
      Đón đầu siêu cảng nước sâu 5tỷ đô tại cần giờ 
      Hiện tại còn rất ít đất pháp lý rõ ràng, mà giá tốt như hiện tại, 
     Gọi cho em ngay để nắm bắt cơ hội đầu tư sinh lợi cục khủng",22m,Đường Lương Văn Nho,,,,Bán đất Đường Lương Văn Nho Cần giờ 100m2 giá 3tỷ3 Ngay cổng Dự Án VinHome,"Đất thổ cư, đất ở",,"4,5m",3300000000,95,Cần bán,17404932,,,"Đường Lương Văn Nho, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Giấy tờ hợp lệ,Xã Cần Giờ,3,20 tỷ,,Hồ Chí Minh,14m,"PHÂN KHU B – VINHOMES GREEN PARADISE CẦN GIỜ 🌴 Vinhomes Cần Giờ 
🔥 Chính thức giới thiệu giỏ hàng đợt đầu tiên – cơ hội vàng cho nhà đầu tư tiên phong! 
- diện tích - 660ha
📌 Số lượng sản phẩm giới hạn: 
- 💗 Biệt thự đơn lập (Màu Hồng): 321 căn 
- 💜 Biệt thự song lập (Màu Tím): 1.775 căn 
- 💛 Nhà liền kề (Màu Vàng): 2.334 căn 
👉 Tổng cộng: 4.430 căn – Sở hữu lâu dài tại siêu đô thị biển 2.870ha đầu tiên & duy nhất của TP.HCM. 
🌊 Sở hữu một căn tại Vinhomes Green Paradise Cần Giờ không chỉ là mua nhà, mà là nắm giữ tài sản di sản – biểu tượng đẳng cấp quốc tế ngay cửa ngõ thành phố.
✅ Tư vấn chi tiết thông tin về dự án 𝑽𝒊𝒏𝒉𝒐𝒎𝒆𝒔 𝑮𝒓𝒆𝒆𝒏 𝑷𝒂𝒓𝒂𝒅𝒊𝒔𝒆 𝑪𝒂̂̀𝒏 𝑮𝒊𝒐̛̀ anh chị liên hệ:",15m,Đường Duyên Hải,,Khu biệt thự Vinpearl Cần Giờ Resort & Villas(xem chi tiết dự án),,NHẬN BOOKING DỰ ÁN VINHOMES CẦN GIỜ TỪ HÔM NAY NHÉ ANH CHỊ-,"Biệt thự, nhà liền kề",,10m,20000000000,150,Cần bán,17466534,,1,"Đường Duyên Hải, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,1,16 triệu / m²,,Hồ Chí Minh,20m,"🏞️ TIN 4: BÁN ĐẤT VIEW ĐẸP SÁT VINHOMES CẦN GIỜ – THỔ CƯ SẴN CÓ!
🌟 Diện tích lớn: 12.031,8m², gồm:

1.436m² thổ cư

5.281m² trồng cây lâu năm

5.314,7m² trồng cây hàng năm
📍 Cách Vinhome Green Paradise chỉ 350m, khu vực tiềm năng tăng giá mạnh.
🛤️ Đường lớn, hạ tầng hoàn thiện, pháp lý rõ ràng.
💰 Giá chỉ 1x triệu/m² – cực hiếm cho quỹ đất lớn gần dự án tỷ đô!",120m,Đường Thạnh Thới,,,,"Bán đất lớn 12.031,8m² sát khu Vinhomes Green Paradise Cần Giờ – Cơ hội đầu tư vàng chỉ 1x",Nhà mặt tiền,,100m,192000000000,12.000,Cần bán,17686301,,1,"Đường Thạnh Thới, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,1,16 triệu / m²,,Hồ Chí Minh,20m,"🌿 TIN 3: CƠ HỘI VÀNG – SỞ HỮU 12.000M² ĐẤT GẦN VINHOMES CẦN GIỜ
🌴 Tổng DT: 12.031,8m²
– Thổ cư: 1.436,1m²
– Còn lại đất trồng cây, bằng phẳng, cao ráo.
🚗 Cách Vinhome Green Paradise chỉ 350m, ngay trung tâm khu phát triển mới.
🏡 Thích hợp làm farmstay nghỉ dưỡng – khu sinh thái – đầu tư dài hạn.
💰 Giá chỉ 1x triệu/m², rẻ hơn thị trường 30-40%.
Liên hệ ngay để xem đất thực tế!",120m,Đường Nguyễn Văn Mạnh,,,,"Đất 12.031,8m² gần Vinhomes Cần Giờ – View đẹp, pháp lý chuẩn – Giá chỉ từ 1x triệu/m²!",Nhà mặt tiền,,100m,192000000000,12.000,Cần bán,17686317,,1,"Đường Nguyễn Văn Mạnh, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,1,16 triệu / m²,,Hồ Chí Minh,16m,"🌊 TIN 2: ĐẤT THỔ CƯ GẦN VINHOMES GREEN PARADISE – GIÁ RẺ BẤT NGỜ!
📍 Cần Giờ – khu vực quy hoạch trọng điểm, hạ tầng bứt phá.
– Tổng DT: 12.031,8m², trong đó 1.436m² thổ cư.
– Đất vuông vức, đường ô tô tới nơi, cách đại dự án Vinhomes chỉ 350m.
💎 Phù hợp đầu tư nghỉ dưỡng, farmstay, homestay sinh thái.
💰 Giá chỉ 1x triệu/m² – cơ hội đầu tư sinh lời vượt trội!",100m,Đường Nguyễn Văn Mạnh,,,,"Siêu lô đất 12.031,8m² (1.436m² thổ cư) cách Vinhomes Green Paradise chỉ 350m – Giá cực rẻ",Nhà mặt tiền,,120m,192000000000,12.000,Cần bán,17686452,,1,"Đường Nguyễn Văn Mạnh, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,238 tỷ,,Hồ Chí Minh,1m,"Bán Nhanh 19.000m2 Đất Khu Víp Long Hòa Cần Giờ Giá Chỉ 238 TỷMô tả: khuôn đất ngang 161m dài 116m DTSD 19000m2 DTCN 17000m2 
Quy hạch đất được chuyển mục đích lên đất ở 100% Đất+ Đất sạch chính chủ tư nhân, tiện xây dựng theo ý phát triển của khách hàng ,+ Cạnh bên dự án khu du lịch phước hợp lấn biển của tập đoàn đa quốc gia vin
Thích hợp cho khách làm dự án đón đầu khu du lịch 
Pháp lý sổ hồng riêng chính 1 đời chủ ,Khách quan tâm GỌI ngay cho Bình Minh để xem đất nhận pháp lý.
xin cảm ơn.",116m,Đường Rừng Sác,,,,Bán Nhanh 19.000m2 Đất Mặt Tiền Rừng Sác Khu Víp Long Hòa Cần Giờ Giá Chỉ 238 Tỷ,"Đất nông, lâm nghiệp",,161m,238000000000,19.000,Cần bán,15982191,,,"Đường Rừng Sác, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Bình Khánh,,"33,5 tỷ",,Hồ Chí Minh,8m,"Vị trí: đất nằm mặt tiền đường nhựa oto 8m, cạnh Cầu Tắc Tây Đen, Bình Khánh, Cần Giờ 

Diện tích sổ 3943m2, có 729m2 thổ cư, ngang 37,7m, dài 105m

Vị trí mặt tiền view sông, oto tới cửa, thuận tiện xây biệt thự nghỉ dưỡng, cách phà Bình Khánh 10phut di chuyển

Pháp lý: sổ Hồng riêng

Giá bán chỉ 33,5 tỷ ( Thương lượng chính chủ)

Liên hệ: Thảo để xem thêm chi tiết",105m,Đường Tam Thôn Hiệp,,,,"ĐẤT THỔ CƯ 3943M2, CẠNH CẦU TẮC TÂY ĐEN, BÌNH KHÁNH, 8,5TR/M2","Đất thổ cư, đất ở",,38m,33500000000,3.943,Cần bán,17233322,,,"Đường Tam Thôn Hiệp, Xã Bình Khánh, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,70 triệu / m²,,Hồ Chí Minh,16m,"Bán đất mặt tiền đường Thạnh Thới, xã Cần Giờ.

✅ Vị trí đắc địa – Kết nối khu trung tâm Cần Giờ
Lô đất nằm ngay mặt tiền đường Thạnh Thới, chỉ cách đường Lương Văn Nho, dự án Phước Lộc 100m.
Khu dân cư Hòa Hiệp hiện hữu, cách cổng chính Vinhomes Green Paradise chỉ 1 km – vị trí tiềm năng phát triển vượt bậc.

✅ Diện tích rộng – Có sẵn thổ cư
Tổng diện tích: 542,8 m²

Kích thước: 12m × 46m

Đã có 376,7 m² đất thổ cư, thích hợp xây nhà phố, biệt thự hoặc đầu tư lâu dài.

✅ Pháp lý minh bạch – Giao dịch nhanh chóng
Sổ hồng riêng, chính chủ.

Công chứng sang tên ngay trong ngày.

💰 Giá bán: 70 triệu/m²
🔢 Tổng giá: ~38 tỷ (còn thương lượng cho khách thiện chí).
📍 Làm việc trực tiếp chính chủ – Hợp tác với anh chị em môi giới.",46m,Đường Thạnh Thới,,,,"Bán đất mặt tiền đường Thạnh Thới Cần Giờ, DT 542,8m2 có 376,7m2 thổ cư, giá 70tr/m2","Đất thổ cư, đất ở",,12m,37940000000,542,Cần bán,17210791,,,"Đường Thạnh Thới, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,50 triệu / m²,,Hồ Chí Minh,16m,"Bán đất mặt tiền đường Duyên Hải, xã Cần Giờ.

📍 Vị trí đắc địa 
Mặt tiền đường Duyên Hải, thuộc xã Cần Giờ – tuyến đường trung tâm, kết nối nhanh ra biển.

Cách công viên Cần Giờ vài phút, gần ngã tư Tắc Xuất – Duyên Hải.

Chỉ 200m ra biển, khí hậu trong lành – lý tưởng cho an cư hoặc nghỉ dưỡng

🏙️ Đối diện đại đô thị Vinhomes Green Paradise – cú hích tăng giá BĐS Cần Giờ
Đất nằm đối diện khu đô thị lấn biển 2.870ha – do Vingroup đầu tư

Tương lai hình thành trung tâm đô thị ven biển mới – hứa hẹn tiềm năng sinh lời vượt trội

📐 Diện tích 
Diện tích : 227,7m²

Ngang 11,5m × Dài 19,8m

100% thổ cư, sẵn sàng xây dựng.

📄 Pháp lý rõ ràng – Giao dịch nhanh chóng
Sổ hồng riêng – chính chủ

Hỗ trợ công chứng sang tên trong ngày

💰 Giá 
Giá chào bán: 50 triệu/m²

Tổng giá khoảng 11,3 tỷ đồng – thương lượng tốt với khách thiện chí","19,8m",Đường Duyên Hải,,,,"Bán đất mặt tiền đường Duyên Hải, xã Cần Giờ, diện tích 227,7 m2, giá 50 triệu/m2","Đất thổ cư, đất ở",,"11,5m",11350000000,227,Cần bán,16930505,,,"Đường Duyên Hải, Thị trấn Cần Thạnh, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,52 triệu / m²,,Hồ Chí Minh,16m,"Bán đất mặt tiền đường Lương Văn Nho, Long Hòa, Cần Giờ .
✅ Vị trí tiềm năng :
Lô đất nằm ngay mặt tiền đường Lương Văn Nho, khu dân cư Hòa Hiệp, xã Long Hòa, huyện Cần Giờ.
✔ Gần dự án Phước Lộc
✔ Cách đường Thạnh Thới chỉ vài phút
✔ Khu vực dân cư đông đúc, hạ tầng hoàn chỉnh – thuận tiện xây nhà ở hoặc đầu tư sinh lời lâu dài

✅ Diện tích & pháp lý rõ ràng
Diện tích: 149,3m²

Kích thước: Ngang 6,3m × Dài 21,1m

Có 93,4m² là đất thổ cư

Sổ hồng riêng, chính chủ – Công chứng sang tên trong ngày

💰 Giá bán chỉ 52 triệu/m²
🔢 Tổng giá khoảng 7,76 tỷ","21,1m",Đường Lương Văn Nho,,,,"Bán đất mặt tiền đường Lương Văn Nho, gần dự án Phước Lộc, diện tích 149,3 m2, giá 52tr/m2","Đất thổ cư, đất ở",,"6,3m",7748000000,149,Cần bán,17029721,,,"Đường Lương Văn Nho, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
